Year,Month,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
1993,1,-9.852119,0.30262887,0.4459804383773252,-1.001486301603586,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.375,1.6258145836939115,0.6123724356957945,,,,
1993,2,-9.963833,0.30306664,0.5374148893930335,-1.0157357951965986,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.375,1.6258145836939115,0.6123724356957945,-9.852119,,,
1993,3,-9.856525,0.20836148,0.6975761697099591,-0.4931189736618853,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-9.963833,-9.852119,,
1993,4,-9.925649,0.29003543,0.6680675979120225,-0.41250959112673957,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.375,1.6258145836939115,0.6123724356957945,-9.856525,-9.963833,-9.852119,
1993,5,-9.439488,0.2479582,0.6865306459223,-0.4611531194510605,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.925649,-9.856525,-9.963833,-9.852119
1993,6,-9.398925,0.25244924,0.5880573665915814,-0.44467575171540785,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.439488,-9.925649,-9.856525,-9.963833
1993,7,-9.572755,0.2933347,0.7014387369110142,-0.353886076127651,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.398925,-9.439488,-9.925649,-9.856525
1993,8,-9.42402,0.21373849,0.7914186859918032,-0.2896124936679332,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.572755,-9.398925,-9.439488,-9.925649
1993,9,-9.362856,0.320947,0.49067032528580573,-0.9447282226819547,0.16666666666666666,0.16666666666666666,0.9166666666666665,0.48611111111111105,1.4182958340544896,0.6972166887783963,-9.42402,-9.572755,-9.398925,-9.439488
1993,10,-9.453697,0.31325904,0.41009921523978005,-1.3725781387730416,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.362856,-9.42402,-9.572755,-9.398925
1993,11,-9.446616,0.24140048,0.38429186562310264,-1.1754777839427348,0.0,0.0,1.0,1.0,-0.0,1.0,-9.453697,-9.362856,-9.42402,-9.572755
1993,12,-9.478241,0.2622905,0.3229129943045054,-1.2977523456247357,0.0,0.0,1.0,1.0,-0.0,1.0,-9.446616,-9.453697,-9.362856,-9.42402
1994,1,-9.84613,0.29230455,0.4471978025316474,-1.2012952163869683,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-9.478241,-9.446616,-9.453697,-9.362856
1994,2,-9.870857,0.29231337,0.3998796916075174,-1.218597745340542,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-9.84613,-9.478241,-9.446616,-9.453697
1994,3,-9.940998,0.25211683,0.6991163873437778,-0.5608768756443174,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.375,1.6258145836939115,0.6123724356957945,-9.870857,-9.84613,-9.478241,-9.446616
1994,4,-9.718948,0.23073252,0.7950508071967932,-0.26023248878386207,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.940998,-9.870857,-9.84613,-9.478241
1994,5,-9.63625,0.23114404,0.6674876134395603,-0.643986552851397,0.0,0.0,1.0,1.0,-0.0,1.0,-9.718948,-9.940998,-9.870857,-9.84613
1994,6,-9.4763,0.24052759,0.7465360883073016,-0.26255370441244885,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.63625,-9.718948,-9.940998,-9.870857
1994,7,-9.28699,0.23300983,0.5856133859493319,-0.5770662854600954,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.4763,-9.63625,-9.718948,-9.940998
1994,8,-9.364803,0.19225004,0.9840542008037519,0.03800931277163233,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.28699,-9.4763,-9.63625,-9.718948
1994,9,-9.406568,0.27194294,0.5267477877868044,-0.7870736257116038,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.364803,-9.28699,-9.4763,-9.63625
1994,10,-9.482079,0.26282036,0.40329228696288527,-1.246142225164173,0.0,0.0,1.0,1.0,-0.0,1.0,-9.406568,-9.364803,-9.28699,-9.4763
1994,11,-9.636847,0.25124237,0.4621017096571661,-1.0275326003971208,0.0,0.0,1.0,1.0,-0.0,1.0,-9.482079,-9.406568,-9.364803,-9.28699
1994,12,-9.602053,0.23974858,0.41453515130344426,-0.9272021864874631,0.0,0.0,1.0,1.0,-0.0,1.0,-9.636847,-9.482079,-9.406568,-9.364803
1995,1,-9.83789,0.23193544,0.5171613520696832,-0.8572459439401827,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-9.602053,-9.636847,-9.482079,-9.406568
1995,2,-9.707795,0.23487452,0.4701540202954729,-1.0735662473152172,0.0,0.0,1.0,1.0,-0.0,1.0,-9.83789,-9.602053,-9.636847,-9.482079
