Year,Month,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
1995,6,-10.422261,0.101482086,-0.3649162392578459,-1.4203900440929025,0.0,0.0,1.0,1.0,-0.0,1.0,-10.209266,-9999.0,-11.195985,-11.255856
1995,7,-9.957423,0.089594655,0.021878075426818917,-1.2066322947349803,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-10.422261,-10.209266,-9999.0,-11.195985
1995,8,-9.398208,0.09021194,-0.41345811642331914,-1.380128974721018,0.0,0.0,1.0,1.0,-0.0,1.0,-9.957423,-10.422261,-10.209266,-9999.0
1995,9,-9.3316145,0.16438223,-0.35484320991751994,-1.1615977362209085,0.0,0.0,1.0,1.0,-0.0,1.0,-9.398208,-9.957423,-10.422261,-10.209266
1995,10,-9.545315,0.09007018,-0.5603440464849093,-1.4253612736953227,0.0,0.0,1.0,1.0,-0.0,1.0,-9.3316145,-9.398208,-9.957423,-10.422261
1995,11,-9.875492,0.1645915,-0.3727471413671327,-1.3489068384481526,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-9.545315,-9.3316145,-9.398208,-9.957423
1995,12,-10.648587,0.12741297,-0.5534857819708253,-1.3679177216693643,0.0,0.0,1.0,1.0,-0.0,1.0,-9.875492,-9.545315,-9.3316145,-9.398208
1996,1,-11.042849,0.14018871,-0.4225197379677071,-1.4238702770031844,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.375,1.6258145836939115,0.6123724356957945,-10.648587,-9.875492,-9.545315,-9.3316145
1996,2,-11.187669,0.14299324,-0.357908672020861,-1.4268392305701596,0.0,0.0,1.0,1.0,-0.0,1.0,-11.042849,-10.648587,-9.875492,-9.545315
1996,3,-11.326337,0.14110678,-0.21726938517092875,-1.4444036476262274,0.0,0.0,1.0,1.0,-0.0,1.0,-11.187669,-11.042849,-10.648587,-9.875492
1996,4,-10.910558,0.13928059,0.017166133020606166,-1.4051497502274464,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-11.326337,-11.187669,-11.042849,-10.648587
1996,5,-9999.0,0.0,,,0.0,0.0,1.0,1.0,-0.0,1.0,-10.910558,-11.326337,-11.187669,-11.042849
1996,6,-9.570521,0.11123303,-0.22891834040301828,-0.9795546869871203,0.0,0.0,1.0,1.0,-0.0,1.0,-9999.0,-10.910558,-11.326337,-11.187669
1996,7,-10.638277,0.23288421,-0.6725415382343728,-0.9649196735488257,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.570521,-9999.0,-10.910558,-11.326337
1996,8,-9.660652,0.10385557,-0.5802355985467021,-1.3628114557971183,0.0,0.0,1.0,1.0,-0.0,1.0,-10.638277,-9.570521,-9999.0,-10.910558
1996,9,-9.15712,0.14587495,-0.6747247244913762,-0.6295437339438235,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.660652,-10.638277,-9.570521,-9999.0
1996,10,-9.3432045,0.105499275,-0.4779851630300311,-1.2820250372746735,0.0,0.0,1.0,1.0,-0.0,1.0,-9.15712,-9.660652,-10.638277,-9.570521
1996,11,-10.210415,0.1352379,-0.544436962044291,-1.4612092398759926,0.0,0.0,1.0,1.0,-0.0,1.0,-9.3432045,-9.15712,-9.660652,-10.638277
1996,12,-9.707751,0.17230713,-0.8239968261823598,-0.58069699366906,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-10.210415,-9.3432045,-9.15712,-9.660652
1997,1,-10.816787,0.093941934,-0.9517696889240028,-0.21225754810264474,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.707751,-10.210415,-9.3432045,-9.15712
1997,2,-11.247062,0.1514298,-0.3948317523450197,-1.4330527523678729,0.0,0.0,1.0,1.0,-0.0,1.0,-10.816787,-9.707751,-10.210415,-9.3432045
1997,3,-10.87701,0.12579823,-0.1040260240758952,-1.5186183231988273,0.33333333333333337,0.33333333333333337,0.8333333333333335,0.5000000000000001,1.2516291673878228,0.7071067811865476,-11.247062,-10.816787,-9.707751,-10.210415
1997,4,-10.8054495,0.15268913,-0.5523743588158742,-1.105625818963116,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-10.87701,-11.247062,-10.816787,-9.707751
1997,5,-10.880106,0.13024822,-0.04720350624394434,-1.369624711007776,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-10.8054495,-10.87701,-11.247062,-10.816787
1997,6,-10.521771,0.1450989,-0.019604438152988745,-1.2210814978667996,0.0,0.0,1.0,1.0,-0.0,1.0,-10.880106,-10.8054495,-10.87701,-11.247062
1997,7,-10.186859,0.19099846,0.07693322914414029,-1.1707406584496023,0.33333333333333337,0.33333333333333337,0.8333333333333335,0.5000000000000001,1.2516291673878228,0.7071067811865476,-10.521771,-10.880106,-10.8054495,-10.87701
1997,8,-9.927361,0.1354058,-0.2855948918058807,-1.2170836821958697,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-10.186859,-10.521771,-10.880106,-10.8054495
1997,9,-9.464621,0.10688787,-0.3287607264205799,-1.0344391739286067,0.0,0.0,1.0,1.0,-0.0,1.0,-9.927361,-10.186859,-10.521771,-10.880106
1997,10,-9.535121,0.13157043,-0.30110606662839035,-1.3433737748151138,0.0,0.0,1.0,1.0,-0.0,1.0,-9.464621,-9.927361,-10.186859,-10.521771
1997,11,-9.082894,0.08289788,-0.22141783812714239,-1.1793974272463015,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.535121,-9.464621,-9.927361,-10.186859
1997,12,-9.363953,0.14046729,-0.5221166837259498,-1.4877247974397623,0.0,0.0,1.0,1.0,-0.0,1.0,-9.082894,-9.535121,-9.464621,-9.927361
1998,1,-10.403993,0.14227234,-0.4500993829859648,-1.4578684225674234,0.0,0.0,1.0,1.0,-0.0,1.0,-9.363953,-9.082894,-9.535121,-9.464621
1998,2,-10.738802,0.17046456,-0.3074091874555661,-1.455408335311163,0.0,0.0,1.0,1.0,-0.0,1.0,-10.403993,-9.363953,-9.082894,-9.535121
1998,3,-10.884612,0.17644486,-0.22879809532941545,-1.4404403065884739,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-10.738802,-10.403993,-9.363953,-9.082894
1998,4,-10.887103,0.15489629,-0.430495700145154,-1.3704410822847748,0.0,0.0,1.0,0.5555555555555556,0.9182958340544896,0.7453559924999299,-10.884612,-10.738802,-10.403993,-9.363953
1998,5,-10.731329,0.15862119,-0.6668469588296049,-0.9251686020663428,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-10.887103,-10.884612,-10.738802,-10.403993
1998,6,-10.323642,0.20719449,-0.582071176497928,-1.3306741273624811,0.0,0.0,1.0,1.0,-0.0,1.0,-10.731329,-10.887103,-10.884612,-10.738802
1998,7,-9.836342,0.06056113,-0.0013850665000086108,-1.176789881990159,0.0,0.0,1.0,1.0,-0.0,1.0,-10.323642,-10.731329,-10.887103,-10.884612
1998,8,-9.162403,0.09095764,-0.7407121195958661,-0.8743440759555434,0.0,0.0,1.0,1.0,-0.0,1.0,-9.836342,-10.323642,-10.731329,-10.887103
1998,9,-9.218892,0.08690385,-0.2331509567732741,-1.486188779001905,0.0,0.0,1.0,1.0,-0.0,1.0,-9.162403,-9.836342,-10.323642,-10.731329
1998,10,-8.90189,0.0639597,0.045298652112345815,-1.3926751038804945,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7083333333333334,0.8166890883150209,0.8416254115301732,-9.218892,-9.162403,-9.836342,-10.323642
1998,11,-9.216518,0.10803681,-0.3577092625440415,-1.3848023933375568,0.0,0.0,1.0,1.0,-0.0,1.0,-8.90189,-9.218892,-9.162403,-9.836342
