date,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
1993-01-01,-12.100426,0.36289278,-0.5329151325100779,-0.08096174371241682,0.1263736263736264,0.1263736263736264,0.9368131868131869,0.37228293684337643,1.703012395607148,0.6101499298069094,,,,
1993-05-01,-10.318773,0.26755366,-0.3269088156162197,-1.076595722015844,0.06593406593406594,0.06593406593406594,0.9670329670329672,0.7014249486776961,0.8884029456812845,0.8375111633152695,-12.100426,,,
1993-09-01,-12.043659,0.34570935,-0.4730163221959623,-0.6023545499732355,0.12637362637362637,0.12637362637362637,0.9368131868131868,0.3908193454896752,1.5453881001442005,0.6251554570582226,-10.318773,-12.100426,,
1993-12-01,-10.496024,0.21463397,-0.10496425533444394,-0.677133578321671,0.0,0.0,1.0,1.0,-0.0,1.0,-12.043659,-10.318773,-12.100426,
1994-01-01,-11.926591,0.42047557,-0.6107528306286482,-0.21329789504277574,0.14285714285714288,0.14285714285714288,0.9285714285714286,0.3986233546673108,1.6852879774473817,0.6313662603175044,-10.496024,-12.043659,-10.318773,-12.100426
1994-05-01,-9.869626,0.22659554,-0.8275377319559396,0.04201902386992673,0.04945054945054945,0.04945054945054945,0.9752747252747253,0.589225335104456,1.0653992387154545,0.7676101452589432,-11.926591,-10.496024,-12.043659,-10.318773
1994-09-01,-11.0910225,0.61747754,-0.10237697939028347,-0.7122316566411535,0.10989010989010989,0.10989010989010989,0.945054945054945,0.34953508030431113,1.9476175538746427,0.5912149188783307,-9.869626,-11.926591,-10.496024,-12.043659
1994-12-01,-10.300924,0.2011149,-0.414569268361073,-0.3610111390677031,0.03296703296703297,0.03296703296703297,0.9835164835164835,0.8840719719840598,0.42223312632917825,0.9402510154124056,-11.0910225,-9.869626,-11.926591,-10.496024
1995-01-01,-11.491037,0.3982595,-0.7647697147684919,-0.12034510175066604,0.09890109890109891,0.09890109890109891,0.9505494505494505,0.5665982369279073,1.4170293091270614,0.7527271995403828,-10.300924,-11.0910225,-9.869626,-11.926591
1995-05-01,-9.888619,0.23365739,-0.3402621908383414,-1.1887010298293768,0.06593406593406594,0.06593406593406594,0.9670329670329672,0.4792295616471441,1.286499854012629,0.6922640837477733,-11.491037,-10.300924,-11.0910225,-9.869626
